查询院校名称,页面院校名称,主管部门,院校省份,城市,985,211,双一流,类型,层次,性质,省份,批次,科类,专业组,选科要求,专业,最低分,最低位次,人数,批次线差,备注
对外经济贸易大学,对外经济贸易大学,教育部,北京,北京,,,双一流,财经,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"金融学类-(金融学、金融学[国际金融与市场]、经济与金融、投资学、保险学)-6, 经济学类-(分流时专业任选)(国际经济与贸易、财政学、税收学)-5, 精算学-(选拔进入双学士学位项目或实验班)(可参与精算学-劳动与社会保障双学士学位项目或精算与风险管理实验班选拔；国际交流：可参与曼彻斯特大学、肯特大学联合培养“2+2”项目。)-4, 工商管理类-(项目选拔进入，分流时专业任选)(会计学、财务管理、人力资源管理、市场营销、工商管理、会计学[北邮计算机联合学士学位培养项目]、会计学[北邮金科联合学士学位培养项目])-3, 金融数学-2, 金融工程-(大类招生，项目选拔进入，分流时专业任选)(含：金融工程、金融科技、金融科技(北邮人工智能联合学士学位培养项目))-2, 金融工程-(量化金融实验班)-2",,,24.0,,
对外经济贸易大学,对外经济贸易大学,教育部,北京,北京,,,双一流,财经,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"数据科学与大数据技术-(大类招生，项目选拔进入，分流时专业任选)(含：数据科学与大数据技术、法学-数据科学与大数据技术双学士学位项目、保险学-数据科学与大数据技术双学士学位项目、智能科学与技术、人工智能(项目制培养))-3, 数据科学-3",,,6.0,,
对外经济贸易大学,对外经济贸易大学,教育部,北京,北京,,,双一流,财经,本科,公办,江西,本科批,首选物理,503,首选物理 再选化学,数据科学与大数据技术-(中外合作办学)(合作院校：美国乔治梅森大学；学费：在对外经济贸易大学三年期间99000元/生/学年，在美学费按照对方国际学生标准收取。)-6,,,6.0,,
对外经济贸易大学,对外经济贸易大学,教育部,北京,北京,,,双一流,财经,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"保险学-(全部进入大数据双学士学位项目)(国家专项)-2, 物流管理-(全部进入国贸双学士学位项目)(国家专项)-1, 经济学类-(分流时专业任选)(国际经济与贸易、财政学、税收学)(国家专项)-1",,,4.0,,
对外经济贸易大学,对外经济贸易大学,教育部,北京,北京,,,双一流,财经,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,数据科学-(国家专项)-1,,,1.0,,
北京中医药大学,北京中医药大学,教育部,北京,北京,,,双一流,医药,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,针灸推拿学-(五年)(不招色盲、色弱考生)-6,,,6.0,,
北京中医药大学,北京中医药大学,教育部,北京,北京,,,双一流,医药,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"中医学-(卓越5+3一体化)(五年)(不招色盲、色弱考生)-9, 中医学-(五年)(不招色盲、色弱考生)-7, 护理学-(不招色盲、色弱考生)-7, 中药学-(不招色盲、色弱考生)-7, 中医学-(实验班)(五年)(不招色盲、色弱考生)-5, 中西医临床医学-(华佗班)(九年医)(不招色盲、色弱考生)-4, 中医学-(领军人才培养计划)(九年医)(不招色盲、色弱考生)-3, 中药制药-(不招色盲、色弱考生)-2, 中药学-(时珍国药班)(不招色盲、色弱考生)-2, 大数据管理与应用-(成思危拔尖人才班)-2, 中医学-(卓越中医儿科班5+3一体化)(五年)(不招色盲、色弱考生)-1, 中医骨伤科学-(五年)(不招色盲、色弱考生)-1, 药事管理-(不招色盲、色弱考生)-1, 药学-(不招色盲、色弱考生)-1, 康复治疗学-(不招色盲、色弱考生)-1, 生物工程-(交叉创新班)(不招色盲、色弱考生)-1",,,54.0,,
北京中医药大学,北京中医药大学,教育部,北京,北京,,,双一流,医药,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,公共事业管理-(卫生管理)(国家专项)-1,,,1.0,,
北京中医药大学,北京中医药大学,教育部,北京,北京,,,双一流,医药,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,"中药学-(不招色盲、色弱考生)(国家专项)-2, 中医学-(五年)(不招色盲、色弱考生)(国家专项)-1, 中药制药-(不招色盲、色弱考生)(国家专项)-1, 药事管理-(不招色盲、色弱考生)(国家专项)-1",,,5.0,,
中国政法大学,中国政法大学,教育部,北京,北京,,,双一流,政法,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"法学-16, 经济学-2, 法学-(法学人才培养模式改革实验班)-2, 工商管理-(法务会计方向)-2, 法学-(金融双学士学位项目)(在商学院培养，可获得法学和金融工程专业两个学士学位，详见章程)-2, 金融工程-(成思危现代金融菁英班)-2, 法学-(北邮联合培养智慧法学实验班)(第三学年到北京邮电大学学习一年。)-2, 国际商务-(涉外法商人才培养实验班)-1, 信息管理与信息系统-(北理联合培养数据法学实验班)(第二学年到北京理工大学学习一年。)-1, 公共事业管理-1",,,31.0,,
中国政法大学,中国政法大学,教育部,北京,北京,,,双一流,政法,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"法学-(国家专项)-3, 工商管理-(创新与知产管理方向)(国家专项)-1",,,4.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,502,首选物理 再选不限,"文化产业管理-3, 传播学-3, 信息管理与信息系统-3, 广告学-(计算广告双学士学位实验班)-3, 数字出版-2, 数字经济-2",,,16.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,503,首选物理 再选不限,智能影像艺术-2,,,2.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,504,首选物理 再选化学,"网络空间安全-4, 智能视听工程-3, 电子信息工程-3, 数据科学与大数据技术-3, 通信工程-3, 数字媒体技术-(游戏科学与技术方向)-3, 数字媒体技术-3",,,22.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,505,首选物理 再选化学,"数字媒体技术-(中外合作办学)(办学地点：海南国际学院(海南省陵水黎族自治县黎安国际教育创新试验区))-6, 智能科学与技术-(中外合作办学)(办学地点：海南国际学院(海南省陵水黎族自治县黎安国际教育创新试验区))-5",,,11.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,506,首选物理 再选化学,人工智能-(智能视听卓越人才实验班)-2,,,2.0,,
中国传媒大学,中国传媒大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,561,首选物理 再选化学,"通信工程-(国家专项)-2, 计算机科学与技术-(国家专项)-2, 智能科学与技术-(国家专项)-2",,,6.0,,
中华女子学院,中华女子学院,中华妇女联合会,北京,北京,,,,0,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"人力资源管理-(性别要求：只招女生。第一年在北校区。)-4, 会计学-(性别要求：只招女生。第一年在北校区。)-4, 社会工作-(性别要求：只招女生。第一年在北校区。)-2, 应用心理学-(性别要求：只招女生。第一年在北校区。)-2",,,12.0,,
中华女子学院,中华女子学院,中华妇女联合会,北京,北京,,,,0,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,数字媒体技术-(性别要求：只招女生。第一年在北校区。)-3,,,3.0,,
华北电力大学,华北电力大学(北京),教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"金融学-4, 供应链管理-2, 工商管理-2, 会计学-2, 工程管理-1",,,11.0,,
华北电力大学,华北电力大学(北京),教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"电气工程及其自动化-11, 能源与动力工程-8, 能源动力类-(新能源)(新能源科学与工程、新能源材料与器件)-7, 核工程与核技术-5, 自动化-4, 测控技术与仪器-3, 计算机科学与技术-3, 智能电网信息工程-3, 人工智能-3, 环境科学-2, 网络空间安全-2, 储能科学与工程-2, 机械工程-2, 电子信息工程-2, 信息与计算科学-2, 通信工程-2, 水利水电工程-2, 软件工程-2, 应用化学-2, 水文与水资源工程-2, 氢能科学与工程-2, 辐射防护与核安全-1, 材料科学与工程-1, 应用物理学-1, 机器人工程-1, 数据科学与大数据技术-1, 电子科学与技术-1, 水利水电工程-(工商双学士学位)-1",,,78.0,,
华北电力大学,华北电力大学(北京),教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"工商管理-(国家专项)-1, 金融学-(国家专项)-1",,,2.0,,
华北电力大学,华北电力大学(北京),教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,"能源与动力工程-(国家专项)-1, 信息与计算科学-(国家专项)-1, 通信工程-(国家专项)-1, 材料科学与工程-(国家专项)-1",,,4.0,,
中央民族大学,中央民族大学,国家民委,北京,北京,,,双一流,民族,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"经济学类-(经济学、财政学、金融学、国际经济与贸易)-6, 数字经济-3, 工商管理类-(工商管理、会计学、财务管理、人力资源管理)-3, 外国语言文学类-(英语、翻译)(外语语种要求：英语。)(外语要求:英语)-2, 法学类-(法学、法学(涉外法治))-2",,,16.0,,
中央民族大学,中央民族大学,国家民委,北京,北京,,,双一流,民族,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"计算机类-(计算机科学与技术、软件工程、数据科学与大数据技术)-9, 电子信息类-(电子信息工程、通信工程、人工智能)-6, 统计学类-(统计学、应用统计学)-5, 纳米材料与技术-5, 信息与计算科学-5, 环境科学与工程类-(环境工程、环境科学、化学)-5, 生物科学类-(生物科学、生态学)-5, 光电信息科学与工程-5",,,45.0,,
中央民族大学,中央民族大学,国家民委,北京,北京,,,双一流,民族,本科,公办,江西,本科批,首选物理,503,首选物理 再选化学,数据科学与大数据技术-(中外合作办学)(办学地点：海南国际学院)-5,,,5.0,,
中央民族大学,中央民族大学,国家民委,北京,北京,,,双一流,民族,本科,公办,江西,本科批,首选物理,561,首选物理 再选化学,"环境科学与工程类-(环境工程、环境科学、化学)(国家专项)-3, 生物科学类-(生物科学、生态学)(国家专项)-3",,,6.0,,
